id,nom_estab,entidad,municipio,localidad
6811312,ABS DE MÉXICO,AGUASCALIENTES,Jesús María,Paseos de Aguascalientes
6166248,CENTRO ACUÍCOLA PABELLON DE HIDALGO,AGUASCALIENTES,Rincón de Romos,SEMARNAT [Centro Acuícola]
963,"FRUTAS ORGÁNICAS DE MÉXICO, S.A. DE C.V.",AGUASCALIENTES,Calvillo,Calvillo
6507967,GRANJA ACUÍCOLA ARROYO DE LOS CABALLOS,AGUASCALIENTES,Calvillo,Calvillo
6166234,GRANJA ACUÍCOLA ARROYO DE LOS CABALLOS,AGUASCALIENTES,Calvillo,Arroyo Ojocalientillo
6166233,GRANJA ACUÍCOLA SANTA ROSA,AGUASCALIENTES,El Llano,Santa Rosa [Granja Acuícola]
6713044,GRANJA DE PEZ MASBE,AGUASCALIENTES,Rincón de Romos,Bajío del Yerbaníz
6166232,GRANJA HERNANDEZ,AGUASCALIENTES,Aguascalientes,Aguascalientes
6166236,LOS LAURELES,AGUASCALIENTES,Calvillo,Calvillo
6731335,ORGANIC SA DE CV,AGUASCALIENTES,Aguascalientes,Aguascalientes
6166238,PESCADORES DEL REFUGIO,AGUASCALIENTES,Calvillo,Malpaso
6166235,POTRERO DE SAN ANTONIO,AGUASCALIENTES,Aguascalientes,Aguascalientes
6166231,RANCHO SAN JOSE,AGUASCALIENTES,Cosío,El Pilar
6722197,SANIPOLLO,AGUASCALIENTES,Pabellón de Arteaga,Río San Pedro [Colonia]
6166245,SOCIEDAD COOPERATIVA SAN JERONIMO,AGUASCALIENTES,Aguascalientes,Cieneguilla (La Lumbrera)
6166249,SOCIEDAD DE PESCA DE FRESNILLO,AGUASCALIENTES,Rincón de Romos,Fresnillo
6166243,SOCIEDAD PISCÍCOLA COMERCIAL Y DEPORTIVA S.P.R. DE RL,AGUASCALIENTES,San José de Gracia,San José de Gracia
6252543,TURISTICA LOMA DE PIEDRA,AGUASCALIENTES,Calvillo,Malpaso
6166237,"TURISTICA LOMA DE PIEDRA, S.A. DE C.V.",AGUASCALIENTES,Calvillo,Malpaso
6166247,UNIDAD DE PRODUCCIÓN PISCÍCOLA ABELARDO RODRIGUEZ,AGUASCALIENTES,Jesús María,General Ignacio Zaragoza (Venadero)
6166241,UNIDAD DE PRODUCCIÓN PISICOLA EL JOCOQUI,AGUASCALIENTES,Rincón de Romos,Estancia de Mosqueira
6166255,"ACE KIMA CORPORACION, S.A. DE C.V.",BAJA CALIFORNIA,Ensenada,El Sauzal de Rodríguez
6166342,"ACUACULTURA DE BAJA CALIFORNIA, S.A. DE C.V.",BAJA CALIFORNIA,Ensenada,El Sauzal de Rodríguez
6166436,ACUACULTURA OCEANICA,BAJA CALIFORNIA,Ensenada,Ensenada
6166276,ACUAMOS SPR. DE RL.,BAJA CALIFORNIA,Mexicali,Campo Mozqueda (Colonia Terrenos Indios)
6694325,ACUAPRODUCTOS BAJA,BAJA CALIFORNIA,Ensenada,Ensenada
6718882,ACUÍCOLA CORTES,BAJA CALIFORNIA,Mexicali,Colonia Venustiano Carranza (La Carranza)
6166498,ACUÍCOLA EL SAUZAL,BAJA CALIFORNIA,Mexicali,Poblado Sombrerete
6166496,"ACUICOLA PACAR, S.P.R. DE R.L.",BAJA CALIFORNIA,Mexicali,Poblado el Caimán
6166439,ACUÍCOLA SAN QUINTIN,BAJA CALIFORNIA,Ensenada,Lázaro Cárdenas
6166487,ACUÍCOLA TRIPLEA,BAJA CALIFORNIA,Mexicali,Los Ángulos (Colonia Venustiano Carranza)
6166290,"ADMINISTRADORA PESQUERA DEL NOROESTE, S.A. DE C.V.",BAJA CALIFORNIA,Ensenada,El Sauzal de Rodríguez
79906,AERO FUMIGACIONES MULLER,BAJA CALIFORNIA,Mexicali,Mexicali
6166293,"AGARMEX, S.A. DE C.V.",BAJA CALIFORNIA,Ensenada,Ensenada
6166333,"AGROINDUSTRIAS ISLA CORONADO NORTE, S. DE R.L. DE C.V.",BAJA CALIFORNIA,Playas de Rosarito,Popotla
6166433,AGROMARINOS,BAJA CALIFORNIA,Ensenada,Ensenada
6166344,AGROMARISMA,BAJA CALIFORNIA,Ensenada,Ensenada
86922,AGROPECUARIA PRIMEN,BAJA CALIFORNIA,Mexicali,Mexicali
137275,AK VERIFICACIÓN,BAJA CALIFORNIA,Mexicali,Mexicali
6166294,ALBIOMAR,BAJA CALIFORNIA,Ensenada,El Sauzal de Rodríguez
6166257,"ALGALIMENTOS, S.A. DE C.V.",BAJA CALIFORNIA,Tijuana,Tijuana
6166273,"ALGAS Y EXTRACTOS DEL PACIFICO NORTE AEP, S.A. DE C.V.",BAJA CALIFORNIA,Ensenada,Ensenada
6762603,ALMACEN,BAJA CALIFORNIA,Ensenada,Ensenada
6423628,ALMACÉN PNA,BAJA CALIFORNIA,Ensenada,Isla de Cedros
6776867,APINCANTU,BAJA CALIFORNIA,Ensenada,Coronel Esteban Cantú
6166435,AQUALAP,BAJA CALIFORNIA,Ensenada,Ensenada
6166368,ASOCIACIÓN PESQUERA MORTERA DE LEYVA,BAJA CALIFORNIA,Ensenada,El Rosario de Arriba
6166421,"ASOCIACIÓN PESQUERA REGASA NUM.2, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,El Rosario
6166289,ATUN OCEANO PACIFICO S.A. DE C.V.,BAJA CALIFORNIA,Ensenada,El Sauzal de Rodríguez
6166449,ATUNEROS UNIDOS DE CALIFORNIA,BAJA CALIFORNIA,Ensenada,Ensenada
6166438,BAJA AQUAFARMS,BAJA CALIFORNIA,Ensenada,El Sauzal de Rodríguez
6166329,BAJA DESERT S.P.R. DE RL,BAJA CALIFORNIA,Ensenada,Campo Nuevo
6752874,BAJA REEF AQUACULTURE,BAJA CALIFORNIA,Ensenada,Ensenada
6166503,BAÑAGA DEL MAR S. DE R.L. DE C.V.,BAJA CALIFORNIA,Ensenada,La Chorera
6489521,BARRAGAN PRODUCE,BAJA CALIFORNIA,Ensenada,Rodolfo Sánchez Taboada (Maneadero)
6166315,"BUZOS DE BAHIA, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Bahía de los Ángeles
6166471,"BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Coronel Esteban Cantú
6166394,"BUZOS Y PESCADORES DEL PABELLON, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Ejido Nueva Odisea (El Pabellón)
6166497,"CAMARON DEL DESIERTO, S.P.R. DE R.I.",BAJA CALIFORNIA,Mexicali,Poblado el Caimán
6166278,CAMARONICULTURA,BAJA CALIFORNIA,Mexicali,Familia García Montoya (Sombrerete Uno)
6188997,CAPTURA Y COMERCIALIZACIÓN E ESPECIES MARINAS,BAJA CALIFORNIA,Ensenada,Bahía de los Ángeles
6166442,COMEXTUN,BAJA CALIFORNIA,Ensenada,Ensenada
6166304,COOPERATIVA BUSOS Y PESCADORES,BAJA CALIFORNIA,Ensenada,Ensenada
